#ALFALFA 100 HI mass function
#Provided by Michael Jones
#
#Fit values:
#alpha = -1.25180741531
#m_s = 9.94180844064
#phi_s = 0.0045228023071
#
#Covariance matrix:
#0.000279624570692 -0.000175712837112 2.93322601501e-06
#-0.000175712837112 0.000196952155128 -2.72035162573e-06
#2.93322601501e-06 -2.72035162573e-06 4.42791984275e-08
#
#ALFALFA 100 HI Mass function from Jones et al. (2018; MNRAS  477  2)
#hobs = 0.7
#
#logMHI HIMF HIMF_err count
6.1 0.0609172680984 0.0430750133637 2.0
6.3 0.0276812225316 0.0276812225316 1.0
6.5 0.0523692162455 0.0215726434275 6.0
6.7 0.0850052199706 0.02799114127 14.0
6.9 0.0414296070178 0.0104943631974 19.0
7.1 0.0465782100978 0.00768057905896 39.0
7.3 0.0505468482757 0.00670275759855 63.0
7.5 0.0526965151773 0.00518110746144 125.0
7.7 0.039598516033 0.00325602462586 161.0
7.9 0.0302812477439 0.0023505200804 183.0
8.1 0.0303255233158 0.00196070586552 264.0
8.3 0.0261821678118 0.00151080858312 326.0
8.5 0.0240819975426 0.00120627674354 443.0
8.7 0.0197387368449 0.00087689519889 627.0
8.9 0.0167018748042 0.000592073613198 973.0
9.1 0.016787076939 0.000434203186573 1812.0
9.3 0.0120179525493 0.00027072425385 2434.0
9.5 0.00949498146181 0.000178300988564 3366.0
9.7 0.00621279943096 0.000108839454272 3753.0
9.9 0.00431128021672 7.19176803476e-05 3958.0
10.1 0.00247140199652 4.64539757974e-05 2931.0
10.3 0.000819443257702 2.52816960961e-05 1053.0
10.5 0.000189405705098 1.20760906937e-05 246.0
10.7 2.30953143642e-05 4.21660821664e-06 30.0
10.9 1.53968762428e-06 1.08872356004e-06 2.0
