# See table 6 of Driver et al. (2022, MNRAS, 513, 439)
#h=0.7
#logM*, logphi, uncert_logphi; field-specific phis and logphis
11.625 -4.704 0.138 -4.997 0.301 -5.028 0.301 -9 1 -4.204 0.125
11.375 -3.414 0.032 -3.492 0.075 -3.356 0.06 -3.507 0.067 -3.31 0.06
11.125 -2.922 0.019 -3.01 0.043 -2.878 0.035 -2.985 0.041 -2.818 0.034
10.875 -2.561 0.013 -2.652 0.029 -2.504 0.023 -2.561 0.025 -2.517 0.025
10.625 -2.361 0.01 -2.44 0.022 -2.299 0.018 -2.371 0.021 -2.324 0.02
10.375 -2.292 0.009 -2.389 0.021 -2.244 0.017 -2.284 0.019 -2.242 0.018
10.125 -2.274 0.009 -2.352 0.02 -2.202 0.017 -2.277 0.018 -2.256 0.018
9.875 -2.219 0.009 -2.314 0.02 -2.148 0.015 -2.232 0.018 -2.178 0.017
9.625 -2.142 0.01 -2.263 0.023 -2.074 0.019 -2.117 0.019 -2.109 0.021
9.375 -2.055 0.014 -2.158 0.027 -1.94 0.031 -2.101 0.025 -1.976 0.03
9.125 -1.886 0.02 -2.044 0.042 -1.794 0.035 -1.866 0.031 -1.871 0.048
8.875 -1.795 0.024 -2.018 0.058 -1.71 0.041 -1.771 0.039 -1.744 0.053
8.625 -1.688 0.032 -1.739 0.064 -1.613 0.044 -1.575 0.055 -1.655 0.105
8.375 -1.669 0.045 -1.717 0.089 -1.711 0.064 -1.834 0.176 -1.667 0.222
8.125 -1.544 0.071 -1.697 0.097 -1.552 0.146 -1.453 0.138 -1.537 0.222
7.875 -1.287 0.079 -1.351 0.125 -1.49 0.176 -1.331 0.125 -0.943 0.125
7.625 -1.349 0.092 -1.413 0.176 -0.956 0.097 -1.786 0.222 -9 1
7.375 -1.011 0.071 -0.986 0.222 -0.819 0.114 -1.13 0.097 -1.046 0.222
7.125 -1.084 0.125 -9 1 -0.806 0.146 -1.741 0.301 -9 1
6.875 -0.691 0.176 -9 1 -0.564 0.222 -0.833 0.301 -9 1
6.375 0.202 0.176 -9 1 0.173 0.301 -0.098 0.301 -9 1
